МАТЧ,ВРЕМЯ,МОНТАЖЕР,Ссылка на готовый хайлайт (на диске),YOUTUBE КХЛ,,,,,,,,,,,,,,,,,,,,,
Амур - Трактор,0.51041666666666663,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Адмирал - Автомобилист,0.52083333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
12 ноября (среда),,,,,,,,,,,,,,,,,,,,,,,,,
Салават Юлаев - СКА,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Металлург Мг - Лада,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Спартак - Локомотив,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - ХК Сочи,0.8125,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - Сибирь,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
13 ноября (четверг),,,,,,,,,,,,,,,,,,,,,,,,,
Авангард - Трактор,0.6875,Житников,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Динамо М,0.79166666666666663,Осипов,,,,,,,,,,,,,,,,,,,,,,,
14 ноября (пятница),,,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - ЦСКА,0.79166666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Спартак - Северсталь,0.8125,Рыжиков,,,,,,,,,,,,,,,,,,,,,,,
15 ноября (суббота),,,,,,,,,,,,,,,,,,,,,,,,,
Сибирь - Динамо М,0.5625,Колышев,,,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Шанхайские Драконы,0.625,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Локомотив - Барыс,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
16 ноября (воскресенье),,,,,,,,,,,,,,,,,,,,,,,,,
Амур - Адмирал,0.41666666666666669,Житников,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Автомобилист,0.58333333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Лада - Нефтехимик,0.66666666666666663,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - ЦСКА,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Динамо Мн,0.70833333333333337,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - Авангард,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
СКА - Металлург Мг,0.72916666666666663,Поляков,,,,,,,,,,,,,,,,,,,,,,,
17 ноября (понедельник),,,,,,,,,,,,,,,,,,,,,,,,,
Сибирь - Шанхайские Драконы,0.64583333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Локомотив - Салават Юлаев,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Барыс,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
18 ноября (вторник),,,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Металлург Мг,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Автомобилист - Нефтехимик,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Лада - Авангард,0.75,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - ЦСКА,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - Динамо Мн,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Динамо М - Спартак,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - Адмирал,0.8125,Рыжиков,,,,,,,,,,,,,,,,,,,,,,,
19 ноября (среда),,,,,,,,,,,,,,,,,,,,,,,,,
Локомотив - Шанхайские Драконы,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Салават Юлаев,0.8125,Осипов,,,,,,,,,,,,,,,,,,,,,,,
20 ноября (четверг),,,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Амур,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Автомобилист - Металлург Мг,0.70833333333333337,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - Адмирал,0.79166666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Динамо М - Сибирь,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - Спартак,0.8125,Рыжиков,,,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - ЦСКА,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
21 ноября (пятница),,,,,,,,,,,,,,,,,,,,,,,,,
Барыс - Салават Юлаев,0.70833333333333337,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Ак Барс,0.8125,Осипов,,,,,,,,,,,,,,,,,,,,,,,
22 ноября (суббота),,,,,,,,,,,,,,,,,,,,,,,,,
Металлург Мг - Адмирал,0.60416666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Сибирь,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Локомотив - Амур,0.70833333333333337,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - Спартак,0.71527777777777779,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
23 ноября (воскресенье),,,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Салават Юлаев,0.58333333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Барыс - Авангард,0.625,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Шанхайские Драконы - Ак Барс,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - Лада,0.70833333333333337,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
24 ноября (понедельник),,,,,,,,,,,,,,,,,,,,,,,,,
Локомотив - Сибирь,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
Динамо М - Амур,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
ЦСКА - СКА,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
25 ноября (вторник),,,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Авангард,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
Спартак - Ак Барс,0.8125,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Лада,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
26 ноября (среда),,,,,,,,,,,,,,,,,,,,,,,,,
Адмирал - Амур,0.52083333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Шанхайские Драконы,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Динамо М - Локомотив,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - СКА,0.8125,Колышев,,,,,,,,,,,,,,,,,,,,,,,
27 ноября (четверг),,,,,,,,,,,,,,,,,,,,,,,,,
Салават Юлаев - Барыс,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Металлург Мг - Авангард,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Спартак - Автомобилист,0.8125,Рыжиков,,,,,,,,,,,,,,,,,,,,,,,
ЦСКА - Лада,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
28 ноября (пятница),,,,,,,,,,,,,,,,,,,,,,,,,
Трактор - ХК Сочи,0.70833333333333337,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Шанхайские Драконы,0.79166666666666663,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - СКА,0.8125,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - Динамо Мн,0.8125,Житников,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - Локомотив,0.8125,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
29 ноября (суббота),,,,,,,,,,,,,,,,,,,,,,,,,
Сибирь - Автомобилист,0.5625,Житников,,,,,,,,,,,,,,,,,,,,,,,
Металлург Мг - Барыс,0.60416666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Спартак - Лада,0.70833333333333337,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
30 ноября (воскресенье),,,,,,,,,,,,,,,,,,,,,,,,,
Адмирал - Динамо Мн,0.41666666666666669,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Амур - ХК Сочи,0.41666666666666669,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Ак Барс - Шанхайские Драконы,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
