МАТЧ,ВРЕМЯ,МОНТАЖЕР,Ссылка на готовый хайлайт (на диске),YOUTUBE КХЛ,,,,,,,,,,,,,,,,,,,,,
9 октября (четверг),,,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Барыс,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Амур,0.79166666666666663,Гриченко,https://disk.yandex.ru/d/c_gR-E-MBK_uvA,https://youtu.be/qt1zwFnnsbU,,,,,,,,,,,,,,,,,,,,,
Северсталь - ХК Сочи,0.79166666666666663,Колышев,https://disk.yandex.ru/d/X56LKcrpdtonCQ,https://youtu.be/_E8QhlfCr2U,,,,,,,,,,,,,,,,,,,,,
Драконы - Динамо Мн,0.8125,Поляков,https://disk.yandex.ru/d/A9ur6RrVODDteg,https://youtu.be/nwybv9Nh_2s,,,,,,,,,,,,,,,,,,,,,
10 октября (пятница),,,,,,,,,,,,,,,,,,,,,,,,,
Автомобилист - Авангард,0.70833333333333337,Гриченко,https://disk.yandex.ru/d/-5GCE1Phu-gWzA,https://youtu.be/x6hW_q09TpQ,,,,,,,,,,,,,,,,,,,,,
Металлург - Торпедо,0.70833333333333337,Поляков,https://disk.yandex.ru/d/N0CZOI35Gb1K_Q,https://youtu.be/uU2gkObAJOY,,,,,,,,,,,,,,,,,,,,,
Лада - Сибирь,0.75,Чурилов,,,,,,,,,,,,,,,,,,,,,,,
Спартак - Салават Юлаев,0.8125,Житников,https://disk.yandex.ru/i/7VOfTc07mC6EHA,https://youtu.be/WlR7vdgqT6I,,,,,,,,,,,,,,,,,,,,,
Динамо М - ЦСКА,0.8125,Гриченко,https://disk.yandex.ru/d/D2_DiVcys5SJYA,https://youtu.be/PAWcNNVpGVk,,,,,,,,,,,,,,,,,,,,,
11 октября (суббота),,,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Локомотив,0.58333333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Драконы - Динамо Мн,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
12 октября (воскресенье),,,,,,,,,,,,,,,,,,,,,,,,,
Нефтехимик - Сибирь,0.58333333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Металлург - Авангард,0.60416666666666663,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Барыс - Торпедо,0.60416666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
ЦСКА - Ак Барс,0.70833333333333337,Рыжиков,,,,,,,,,,,,,,,,,,,,,,,
13 октября (понедельник),,,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - Локомотив,0.79166666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
СКА - Автомобилист,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
14 октября (вторник),,,,,,,,,,,,,,,,,,,,,,,,,
Барыс - Сибирь,0.70833333333333337,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Салават Юлаев - Ак Барс,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Авангард,0.70833333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - Торпедо,0.79861111111111116,Поляков,,,,,,,,,,,,,,,,,,,,,,,
Драконы - Динамо М,0.8125,Осипов,,,,,,,,,,,,,,,,,,,,,,,
15 октября (среда),,,,,,,,,,,,,,,,,,,,,,,,,
Амур - Спартак,0.51041666666666663,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Адмирал - Лада,0.52083333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Северсталь - Автомобилист,0.79166666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Локомотив - ЦСКА,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
СКА - Нефтехимик,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
16 октября (четверг),,,,,,,,,,,,,,,,,,,,,,,,,
Сибирь - Ак Барс,0.64583333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Металлург - Салават Юлаев,0.70833333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Барыс - Авангард,0.72916666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
Драконы - Динамо М,0.8125,Поляков,,,,,,,,,,,,,,,,,,,,,,,
17 октября (пятница),,,,,,,,,,,,,,,,,,,,,,,,,
Амур - Лада,0.51041666666666663,Осипов,,,,,,,,,,,,,,,,,,,,,,,
Адмирал - Спартак,0.52083333333333337,Колышев,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - ЦСКА,0.79166666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Динамо Мн - Нефтехимик,0.79861111111111116,Поляков,,,,,,,,,,,,,,,,,,,,,,,
ХК Сочи - Автомобилист,0.8125,Житников,,,,,,,,,,,,,,,,,,,,,,,
18 октября (суббота),,,,,,,,,,,,,,,,,,,,,,,,,
Трактор - Салават Юлаев,0.58333333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Барыс - Ак Барс,0.625,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
СКА - Локомотив,0.70833333333333337,Поляков,,,,,,,,,,,,,,,,,,,,,,,
19 октября (воскресенье),,,,,,,,,,,,,,,,,,,,,,,,,
Амур - Северсталь,0.41666666666666669,Рыжиков,,,,,,,,,,,,,,,,,,,,,,,
Авангард - Автомобилист,0.58333333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Металлург - Нефтехимик,0.60416666666666663,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Торпедо - Лада,0.70833333333333337,Осипов,,,,,,,,,,,,,,,,,,,,,,,
20 октября (понедельник),,,,,,,,,,,,,,,,,,,,,,,,,
Динамо М - Локомотив,0.79166666666666663,Житников,,,,,,,,,,,,,,,,,,,,,,,
ЦСКА - Динамо Мн,0.8125,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
21 октября (вторник),,,,,,,,,,,,,,,,,,,,,,,,,
Адмирал - Северсталь,0.52083333333333337,Житников,,,,,,,,,,,,,,,,,,,,,,,
Сибирь - Металлург,0.64583333333333337,Гриченко,,,,,,,,,,,,,,,,,,,,,,,
Салават Юлаев - Трактор,0.70833333333333337,Колышев,,,,,,,,,,,,,,,,,,,,,,,
